Fecha,GravedadNombre,ClaseNombre,ChoqueNombre,ObjetoFijoCodigo,ObjetoFijoNombre,OtraClase,NombreOtraClase,Latitud,Longitud,Direccion,TipoVia1,NumeroVia1,LetraVia1,CardinalVia1,TipoVia2,NumeroVia2,LetraVia2,CardinalVia2,Localidad,HoraOcurrencia,TipoDiseño,TipoTiempo,TotalMuertos,TotalHeridos
03-03-16 0:00,Con Heridos,Choque,Vehiculo, , , , ,0,0,KR 24-CL 24 S 02,KR,24, , ,CL,24, ,S,RAFAEL URIBE URIBE,12/31/1899 05:22:00 PM,Tramo de Via,Normal,0,1
03-04-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AC 63-KR 68G 02,AC,63, , ,KR,68,G, ,ENGATIVA,12/31/1899 11:30:00 AM,Tramo de Via,Normal,0,0
03-03-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 60BBIS-CL 92A 02,KR,60,B, ,CL,92,A, ,BARRIOS UNIDOS,12/31/1899 09:40:00 AM,Tramo de Via,Normal,0,0
03-04-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 31-KR 5A S 02,CL,31, ,S,KR,5,A, ,SAN CRISTOBAL,12/31/1899 06:25:00 AM,Tramo de Via,Normal,0,0
03-04-16 0:00,Con Heridos,Choque,Vehiculo, , , , ,0,0,KR 27-CL 37 S 71,KR,27, , ,CL,37, ,S,ANTONIO NARIÑO,12/31/1899 11:30:00 AM,Tramo de Via,Normal,0,2
03-04-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 129-KR 55 02,CL,129, , ,KR,55, , ,SUBA,12/31/1899 03:30:00 PM,Interseccion,Normal,0,0
02/19/2016 12:00:00 AM,Con Heridos,Atropello, , , , , ,0,0,TR 11B-CL 47 ES 60,TR,11,B,E,CL,47, ,S,SAN CRISTOBAL,12/31/1899 01:00:00 PM,Tramo de Via,Normal,0,1
02/20/2016 12:00:00 AM,Con Heridos,Choque,Vehiculo, , , , ,0,0,CL 6-KR 38 02,CL,6, , ,KR,38, , ,PUENTE ARANDA,12/31/1899 06:20:00 PM,Tramo de Via,Normal,0,2
02/20/2016 12:00:00 AM,Con Heridos,Choque,Vehiculo, , , , ,0,0,CL 52-KR 24 02,CL,52, , ,KR,24, , ,TEUSAQUILLO,12/31/1899 03:23:00 PM,Interseccion,Normal,0,2
02/21/2016 12:00:00 AM,Con Heridos,Atropello, , , , , ,0,0,AV AVENIDA CIUDAD DE CALI-CL 85 02,AV,AVENIDA CIUDAD DE CALI, , ,CL,85, , ,ENGATIVA,12/31/1899 07:30:00 AM,Tramo de Via,Normal,0,1
02/20/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 32-DG 52A S 02,KR,32, , ,DG,52,A,S,TUNJUELITO,12/31/1899 06:50:00 AM,Interseccion,Normal,0,0
02/19/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,AK 68-CL 40 S 02,AK,68, , ,CL,40, ,S,PUENTE ARANDA,12/31/1899 04:00:00 AM,Interseccion,Normal,0,0
02/20/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 129-KR 53 02,CL,129, , ,KR,53, , ,SUBA,12/31/1899 09:30:00 AM,Interseccion,Normal,0,0
02/21/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,AV AVENIDA BOYACA-CL 6B 02,AV,AVENIDA BOYACA, , ,CL,6,B, ,KENNEDY,12/31/1899 09:00:00 PM,Tramo de Via,Normal,0,0
02/20/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 30-CL 53 02,KR,30, , ,CL,53, , ,TEUSAQUILLO,12/31/1899 07:30:00 AM,Tramo de Via,Normal,0,0
02/19/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 70-CL 25B 02,KR,70, , ,CL,25,B, ,FONTIBON,12/31/1899 05:40:00 AM,Tramo de Via,Normal,0,0
02/19/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,AV AVENIDA CIUDAD DE CALI-AV AVENIDA DE LAS AMERICAS 02,AV,AVENIDA CIUDAD DE CALI, , ,AV,, , ,KENNEDY,12/31/1899 05:25:00 AM,Glorieta,Normal,0,0
02/22/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 4-CL 91 02,KR,4, , ,CL,91, , ,CHAPINERO,12/31/1899 02:00:00 PM,Interseccion,Normal,0,0
02/22/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 100-KR 45 02,CL,100, , ,KR,45, , ,USAQUEN,12/31/1899 05:45:00 AM,Tramo de Via,Normal,0,0
03-05-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 59-KR 78 S 02,CL,59, ,S,KR,78, , ,BOSA,12/31/1899 04:38:00 PM,Tramo de Via,Normal,0,0
03-04-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 132-KR 107B 02,CL,132, , ,KR,107,B, ,SUBA,12/31/1899 10:50:00 PM,Interseccion,Normal,0,0
03-04-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 24-KR 118A 02,CL,24, , ,KR,118,A, ,FONTIBON,12/31/1899 06:25:00 PM,Tramo de Via,Normal,0,0
03-05-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 9-CL 168 02,KR,9, , ,CL,168, , ,USAQUEN,12/31/1899 04:30:00 PM,Tramo de Via,Normal,0,0
03-07-16 0:00,Solo Daños,Choque,Objeto Fijo,6,Inmueble, , ,0,0,KR 68-CL 55 65,KR,68, , ,CL,55, , ,ENGATIVA,12/31/1899 01:52:00 AM,Tramo de Via,Normal,0,0
03-04-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AC 17-KR 123 04,AC,17, , ,KR,123, , ,FONTIBON,12/31/1899 02:40:00 PM,Tramo de Via,Normal,0,0
03-04-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 13-CL 49 55,KR,13, , ,CL,49, , ,CHAPINERO,12/31/1899 05:30:00 PM,Tramo de Via,Normal,0,0
03-04-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,DG 70-AK 70 02,DG,70, , ,AK,70, , ,USAQUEN,12/31/1899 10:00:00 PM,Tramo de Via,Normal,0,0
03-05-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AC 19-KR 25 02,AC,19, , ,KR,25, , ,LOS MARTIRES,12/31/1899 08:00:00 AM,Tramo de Via,Normal,0,0
03-07-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 19-KR 10 02,CL,19, , ,KR,10, , ,SANTA FE,12/31/1899 11:30:00 AM,Tramo de Via,Normal,0,0
03-07-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 3-KR 14BIS S 02,CL,3, ,S,KR,14, , ,ANTONIO NARIÑO,12/31/1899 12:10:00 PM,Tramo de Via,Normal,0,0
03-07-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AV AVENIDA CIUDAD DE CALI-AV AVENIDA DE LAS AMERICAS 02,AV,AVENIDA CIUDAD DE CALI, , ,AV,, , ,KENNEDY,12/31/1899 06:40:00 AM,Glorieta,Normal,0,0
03-07-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AK 45-CL 145A 54,AK,45, , ,CL,145,A, ,USAQUEN,12/31/1899 04:30:00 PM,Tramo de Via,Normal,0,0
03-07-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 5-CL 40 S 02,KR,5, , ,CL,40, ,S,SAN CRISTOBAL,12/31/1899 07:15:00 AM,Tramo de Via,Normal,0,0
02/22/2016 12:00:00 AM,Con Heridos,Atropello, , , , , ,0,0,CL 138-KR 159 25,CL,138, , ,KR,159, , ,SUBA,12/31/1899 06:37:00 PM,Tramo de Via,Normal,0,1
02/23/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 187-KR 15A 25,CL,187, , ,KR,15,A, ,USAQUEN,12/31/1899 02:15:00 PM,Tramo de Via,Normal,0,0
02/25/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 11-CL 74 64,KR,11, , ,CL,74, , ,CHAPINERO,12/31/1899 07:30:00 AM,Tramo de Via,Normal,0,0
02/24/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 52-CL 53 02,KR,52, , ,CL,53, , ,BARRIOS UNIDOS,12/31/1899 04:55:00 PM,Tramo de Via,Lluvia,0,0
02/27/2016 12:00:00 AM,Con Heridos,Choque,Vehiculo, , , , ,0,0,KR 17F-CL 76 S 02,KR,17,F, ,CL,76, ,S,CIUDAD BOLIVAR,12/31/1899 06:40:00 PM,Tramo de Via,Normal,0,1
03-04-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 78G-CL 35B S 02,KR,78,G, ,CL,35,B,S,KENNEDY,12/31/1899 09:05:00 AM,Tramo de Via,Normal,0,0
03-07-16 0:00,Con Heridos,Choque,Vehiculo, , , , ,0,0,CL 57R-KR 75 S 02,CL,57,R,S,KR,75, , ,BOSA,12/31/1899 06:20:00 AM,Tramo de Via,Normal,0,1
03-07-16 0:00,Con Heridos,Choque,Vehiculo, , , , ,0,0,KR 90-CL 68 02,KR,90, , ,CL,68, , ,ENGATIVA,12/31/1899 07:10:00 AM,Interseccion,Normal,0,4
03-08-16 0:00,Con Heridos,Choque,Vehiculo, , , , ,0,0,CL 13-KR 78G 59,CL,13, , ,KR,78,G, ,FONTIBON,12/31/1899 10:00:00 PM,Tramo de Via,Normal,0,2
03-08-16 0:00,Con Heridos,Choque,Vehiculo, , , , ,0,0,AC 26-KR 50 02,AC,26, , ,KR,50, , ,TEUSAQUILLO,12/31/1899 08:10:00 AM,Tramo de Via,Normal,0,1
03-08-16 0:00,Con Heridos,Atropello, , , , , ,0,0,KR 14-CL 73 S 02,KR,14, , ,CL,73, ,S,USME,12/31/1899 07:45:00 PM,Tramo de Via,Normal,0,1
03-08-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 17-KR 96A 02,CL,17, , ,KR,96,A, ,FONTIBON,12/31/1899 01:00:00 PM,Tramo de Via,Normal,0,0
03-08-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AV AVENIDA PRIMERA DE MAYO-KR 36 02,AV,AVENIDA PRIMERA DE MAYO, , ,KR,36, , ,PUENTE ARANDA,12/31/1899 08:45:00 PM,Tramo de Via,Normal,0,0
03-08-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AV AVENIDA CIUDAD DE CALI-CL 34C S 02,AV,AVENIDA CIUDAD DE CALI, , ,CL,34,C,S,KENNEDY,12/31/1899 12:30:00 PM,Tramo de Via,Normal,0,0
02/27/2016 12:00:00 AM,Con Heridos,Atropello, , , , , ,0,0,CL 138-KR 151 02,CL,138, , ,KR,151, , ,SUBA,12/31/1899 02:20:00 PM,Tramo de Via,Normal,0,1
02/26/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 57Z-KR 75D S 10,CL,57,Z,S,KR,75,D, ,CIUDAD BOLIVAR,12/31/1899 06:55:00 AM,Tramo de Via,Normal,0,0
02/28/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 68-CL 56 02,KR,68, , ,CL,56, , ,TEUSAQUILLO,12/31/1899 04:40:00 PM,Tramo de Via,Normal,0,0
